ulid,flight_id,position,altitude,speed,datetime,meta,created_at,updated_at
01h0knzsjx5zsfzvxss1zmb7m9,01h0knzrc26b97zrr457vqs405,0x000000000101000000D6AA5D13D2325C406AF5D555811A1DC0,52,15,2023-05-17 01:42:55,"{""lla"": {""lat"": -7.275884, ""lng"": 112.794072}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 0, ""coordinate"": {""x"": 0, ""y"": 0, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzskmayfrc1rq2txx90b5,01h0knzrc26b97zrr457vqs405,0x00000000010100000079E0CC8CD2325C4039611FA5871A1DC0,52,15,2023-05-17 01:42:56,"{""lla"": {""lat"": -7.275908069649008, ""lng"": 112.7941009522227}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 0.5535797839985559, ""coordinate"": {""x"": 3.1934226386430495, ""y"": -2.676427126621512, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzskzw5p73mvfnt178bye,01h0knzrc26b97zrr457vqs405,0x000000000101000000DB183C06D3325C4008CD68F48D1A1DC0,52,15,2023-05-17 01:42:57,"{""lla"": {""lat"": -7.275932139298016, ""lng"": 112.7941299044454}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 1.1071595679971118, ""coordinate"": {""x"": 6.386845275438453, ""y"": -5.352854401170248, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsm65w88ptj9pnratkq6,01h0knzrc26b97zrr457vqs405,0x0000000001010000007D4EAB7FD3325C40D738B243941A1DC0,52,15,2023-05-17 01:42:58,"{""lla"": {""lat"": -7.275956208947024, ""lng"": 112.7941588566681}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 1.6607393519956677, ""coordinate"": {""x"": 9.580267912233856, ""y"": -8.02928181452345, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsmd5dyryd5p22xnvrwv,01h0knzrc26b97zrr457vqs405,0x00000000010100000020841AF9D3325C40A6A4FB929A1A1DC0,52,15,2023-05-17 01:42:59,"{""lla"": {""lat"": -7.275980278596033, ""lng"": 112.7941878088908}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 2.2143191359942236, ""coordinate"": {""x"": 12.773690550876903, ""y"": -10.705709374764576, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsmndv4e5d240z2mey7h,01h0knzrc26b97zrr457vqs405,0x000000000101000000C2B98972D4325C40751045E2A01A1DC0,52,15,2023-05-17 01:43:00,"{""lla"": {""lat"": -7.276004348245041, ""lng"": 112.79421676111352}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 2.76789891999278, ""coordinate"": {""x"": 15.967113191367602, ""y"": -13.382137078082854, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsmvph265q76zeqv9b1a,01h0knzrc26b97zrr457vqs405,0x00000000010100000025F2F8EBD4325C40437C8E31A71A1DC0,52,15,2023-05-17 01:43:01,"{""lla"": {""lat"": -7.276028417894049, ""lng"": 112.79424571333622}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 3.3214787039913354, ""coordinate"": {""x"": 19.16053583001065, ""y"": -16.058564923438983, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsn067yw18hnbcrvb0ee,01h0knzrc26b97zrr457vqs405,0x000000000101000000C7276865D5325C4083E8D780AD1A1DC0,52,15,2023-05-17 01:43:02,"{""lla"": {""lat"": -7.2760524875430574, ""lng"": 112.79427466555892}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 3.875058487989892, ""coordinate"": {""x"": 22.3539584686537, ""y"": -18.73499291418182, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsn6pjzz5evwk16cstrm,01h0knzrc26b97zrr457vqs405,0x0000000001010000006A5DD7DED5325C40525421D0B31A1DC0,52,15,2023-05-17 01:43:03,"{""lla"": {""lat"": -7.276076557192066, ""lng"": 112.79430361778162}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 4.428638271988447, ""coordinate"": {""x"": 25.547381105449105, ""y"": -21.41142104615416, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsnc5bzxhpm3e8f0prp1,01h0knzrc26b97zrr457vqs405,0x0000000001010000000C934658D6325C4021C06A1FBA1A1DC0,52,15,2023-05-17 01:43:04,"{""lla"": {""lat"": -7.276100626841074, ""lng"": 112.79433257000431}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 4.982218055987003, ""coordinate"": {""x"": 28.740803744092155, ""y"": -24.08784932351321, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsnh89f78aartn1vctqs,01h0knzrc26b97zrr457vqs405,0x0000000001010000006FCBB5D1D6325C40EF2BB46EC01A1DC0,52,15,2023-05-17 01:43:05,"{""lla"": {""lat"": -7.276124696490082, ""lng"": 112.79436152222704}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 5.53579783998556, ""coordinate"": {""x"": 31.934226382735204, ""y"": -26.7642777445268, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsntpryazpncc7cw8mws,01h0knzrc26b97zrr457vqs405,0x0000000001010000001101254BD7325C40BE97FDBDC61A1DC0,52,15,2023-05-17 01:43:06,"{""lla"": {""lat"": -7.27614876613909, ""lng"": 112.79439047444971}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 6.089377623984115, ""coordinate"": {""x"": 35.12764901953061, ""y"": -29.440706308502065, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsp2vnakyprw8qksbmzs,01h0knzrc26b97zrr457vqs405,0x000000000101000000B43694C4D7325C408D03470DCD1A1DC0,52,15,2023-05-17 01:43:07,"{""lla"": {""lat"": -7.276172835788099, ""lng"": 112.79441942667243}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 6.642957407982671, ""coordinate"": {""x"": 38.3210716600213, ""y"": -32.11713501694022, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
