ulid,flight_id,path_id,position,altitude,speed,datetime,meta,created_at,updated_at
01h2vz6wxd2e0gbckk6brasaft,01h2vz6vn2at0b089jwxya7fmw,01h2vz6vn5tb2m1wcxk1y0ng7c,0x000000000101000000E3098445B6325C40066D17EA91231DC0,53,15,2023-06-14 03:29:25,"{""lla"": {""alt"": 53, ""lat"": -7.2847363068388, ""lng"": 112.79237497229}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 0.3486750353356204, ""coordinate"": {""x"": -187.18171529191625, ""y"": -984.3428671436476, ""z"": 53}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxfaxt68w5gp4xmp2bm,01h2vz6vn2at0b089jwxya7fmw,01h2vz6vn5tb2m1wcxk1y0ng7c,0x000000000101000000ABF27FE0B6325C405DF841DF8F231DC0,52.952651515081,15,2023-06-14 03:29:26,"{""lla"": {""alt"": 52.95265151508117, ""lat"": -7.284728516007879, ""lng"": 112.79241192336488}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 0.6973500706712408, ""coordinate"": {""x"": -183.1060213391395, ""y"": -983.4765478202722, ""z"": 52.95265151508117}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxgg204hdx01q1t4b22,01h2vz6vn2at0b089jwxya7fmw,01h2vz6vn5tb2m1wcxk1y0ng7c,0x00000000010100000032DE7B7BB7325C40B5836CD48D231DC0,52.905303030162,15,2023-06-14 03:29:27,"{""lla"": {""alt"": 52.90530303016234, ""lat"": -7.284720725176959, ""lng"": 112.79244887443974}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 1.0460251060068613, ""coordinate"": {""x"": -179.03032738636276, ""y"": -982.6102285091374, ""z"": 52.90530303016234}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxh99pett524q2scjj2,01h2vz6vn2at0b089jwxya7fmw,01h2vz6vn5tb2m1wcxk1y0ng7c,0x000000000101000000FAC67716B8325C409C0E97C98B231DC0,52.857954545244,15,2023-06-14 03:29:28,"{""lla"": {""alt"": 52.85795454524351, ""lat"": -7.284712934346039, ""lng"": 112.7924858255146}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 1.3947001413424815, ""coordinate"": {""x"": -174.95463343358605, ""y"": -981.74390921544, ""z"": 52.85795454524351}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxk43xf2ykk989sw42b,01h2vz6vn2at0b089jwxya7fmw,01h2vz6vn5tb2m1wcxk1y0ng7c,0x00000000010100000082B273B1B8325C40F399C1BE89231DC0,52.810606060325,15,2023-06-14 03:29:29,"{""lla"": {""alt"": 52.81060606032467, ""lat"": -7.284705143515118, ""lng"": 112.79252277658946}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 1.7433751766781018, ""coordinate"": {""x"": -170.8789394808093, ""y"": -980.87758993687, ""z"": 52.81060606032467}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxmyhaad4d2yt2nd1yb,01h2vz6vn2at0b089jwxya7fmw,01h2vz6vn5tb2m1wcxk1y0ng7c,0x0000000001010000004A9B6F4CB9325C404A25ECB387231DC0,52.763257575406,15,2023-06-14 03:29:30,"{""lla"": {""alt"": 52.763257575405845, ""lat"": -7.284697352684197, ""lng"": 112.79255972766433}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 2.0920502120137225, ""coordinate"": {""x"": -166.80324552803253, ""y"": -980.011270672619, ""z"": 52.763257575405845}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxnvhwmk71sg3x4vjg2,01h2vz6vn2at0b089jwxya7fmw,01h2vz6vn5tb2m1wcxk1y0ng7c,0x000000000101000000D1866BE7B9325C40A2B016A985231DC0,52.715909090487,15,2023-06-14 03:29:31,"{""lla"": {""alt"": 52.71590909048701, ""lat"": -7.284689561853276, ""lng"": 112.7925966787392}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 2.4407252473493424, ""coordinate"": {""x"": -162.72755157710347, ""y"": -979.1449514226877, ""z"": 52.71590909048701}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxqm81m000fjxnkwgt4,01h2vz6vn2at0b089jwxya7fmw,01h2vz6vn5tb2m1wcxk1y0ng7c,0x000000000101000000996F6782BA325C40F93B419E83231DC0,52.668560605568,15,2023-06-14 03:29:32,"{""lla"": {""alt"": 52.66856060556818, ""lat"": -7.284681771022355, ""lng"": 112.79263362981406}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 2.789400282684963, ""coordinate"": {""x"": -158.65185762247907, ""y"": -978.2786321895004, ""z"": 52.66856060556818}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxr0n9wdvnq50zdbwx8,01h2vz6vn2at0b089jwxya7fmw,01h2vz6vn5tb2m1wcxk1y0ng7c,0x000000000101000000215B631DBB325C40E0C66B9381231DC0,52.621212120649,15,2023-06-14 03:29:33,"{""lla"": {""alt"": 52.621212120649346, ""lat"": -7.284673980191434, ""lng"": 112.79267058088892}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 3.1380753180205834, ""coordinate"": {""x"": -154.57616366970234, ""y"": -977.4123129691312, ""z"": 52.621212120649346}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxr7n7zz1nxgtqkew3n,01h2vz6vmfm6pg5n506ztjbp9q,01h2vz6vmrf4vnvby8jg5pnpfw,0x0000000001010000008B11AEB8F6325C40670A9F5F3D1E1DC0,56,15,2023-06-14 03:29:25,"{""lla"": {""alt"": 56, ""lat"": -7.2795309964009, ""lng"": 112.79630867957}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 0.23768777308350503, ""coordinate"": {""x"": 246.70517517304216, ""y"": -405.5297818972221, ""z"": 56}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxscy32smwyagp55z4b,01h2vz6vmfm6pg5n506ztjbp9q,01h2vz6vmrf4vnvby8jg5pnpfw,0x0000000001010000003C6A1A1BF6325C40397979663E1E1DC0,56.081699346316,15,2023-06-14 03:29:26,"{""lla"": {""alt"": 56.08169934631576, ""lat"": -7.279534913219576, ""lng"": 112.79627111034456}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 0.47537554616701005, ""coordinate"": {""x"": 242.56129937186324, ""y"": -405.9653164873028, ""z"": 56.08169934631576}}",2023-06-14 03:29:25,2023-06-14 03:29:25
01h2vz6wxtpqnc6m38rhwrek5r,01h2vz6vmfm6pg5n506ztjbp9q,01h2vz6vmrf4vnvby8jg5pnpfw,0x000000000101000000ADC5867DF5325C400AE8536D3F1E1DC0,56.163398692632,15,2023-06-14 03:29:27,"{""lla"": {""alt"": 56.16339869263151, ""lat"": -7.279538830038253, ""lng"": 112.79623354111912}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 0.713063319250515, ""coordinate"": {""x"": 238.4174235688367, ""y"": -406.4008510802705, ""z"": 56.16339869263151}}",2023-06-14 03:29:25,2023-06-14 03:29:25
